id,source,zh_sentence,tsl_gloss,subject,object,time,topic,verb,verb_type,agreement,question_type,negation,nonmanual,notes
TSL0192,synthetic_manual,媽媽叫小孩慢慢走,小孩 慢慢 走 媽媽 叫,媽媽,小孩,none,小孩,叫,agreement,directional_movement,none,false,none,受者與動作內容先建立
TSL0193,synthetic_manual,今天新聞說颱風要來,今天 颱風 來 要 新聞 說,新聞,颱風,今天,颱風,說,plain,word_order,none,false,none,時間與事件主題
TSL0194,synthetic_manual,颱風明天會影響台灣,明天 台灣 颱風 影響 會,颱風,台灣,明天,台灣,影響,plain,word_order,none,false,none,時間地點先行
TSL0195,synthetic_manual,大家要小心安全,大家 安全 小心 要,大家,安全,none,大家,小心,plain,word_order,none,false,none,提醒語氣後置
TSL0196,synthetic_manual,外出不要忘記帶雨衣,外出 雨衣 帶 忘記 不要,你,雨衣,none,外出,帶,plain,word_order,none,true,head_shake,禁止忘記
TSL0197,synthetic_manual,明天學校可能停課,明天 學校 停課 可能,學校,none,明天,學校,停課,plain,word_order,none,false,none,可能性標記後置
TSL0198,synthetic_manual,停課消息在哪裡看,停課 消息 看 哪裡,你,停課 消息,none,停課 消息,看,plain,word_order,wh,false,wh_expression,資訊來源疑問
TSL0199,synthetic_manual,我會上網查資料,資料 我 上網 查 會,我,資料,none,資料,查,plain,word_order,none,false,none,受語作主題
TSL0200,synthetic_manual,查到消息我再告訴你,消息 查到 我 再 告訴 你,我,你,none,消息,告訴,agreement,directional_movement,none,false,none,告訴方向指向你
TSL0201,synthetic_template,我今天買書,今天 書 我 買,我,書,今天,書,買,plain,word_order,none,false,none,時間在前；受語作主題
TSL0202,synthetic_template,我今天沒有買書,今天 書 我 買 沒有,我,書,今天,書,買,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0203,synthetic_template,我今天看書,今天 書 我 看,我,書,今天,書,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0204,synthetic_template,我今天沒有看書,今天 書 我 看 沒有,我,書,今天,書,看,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0205,synthetic_template,我今天喝書,今天 書 我 喝,我,書,今天,書,喝,plain,word_order,none,false,none,時間在前；受語作主題
TSL0206,synthetic_template,我今天沒有喝書,今天 書 我 喝 沒有,我,書,今天,書,喝,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0207,synthetic_template,我今天帶書,今天 書 我 帶,我,書,今天,書,帶,plain,word_order,none,false,none,時間在前；受語作主題
TSL0208,synthetic_template,我今天沒有帶書,今天 書 我 帶 沒有,我,書,今天,書,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0209,synthetic_template,我今天寫書,今天 書 我 寫,我,書,今天,書,寫,plain,word_order,none,false,none,時間在前；受語作主題
TSL0210,synthetic_template,我今天沒有寫書,今天 書 我 寫 沒有,我,書,今天,書,寫,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0211,synthetic_template,我今天找書,今天 書 我 找,我,書,今天,書,找,plain,word_order,none,false,none,時間在前；受語作主題
TSL0212,synthetic_template,我今天沒有找書,今天 書 我 找 沒有,我,書,今天,書,找,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0213,synthetic_template,我今天喜歡書,今天 書 我 喜歡,我,書,今天,書,喜歡,plain,word_order,none,false,none,時間在前；受語作主題
TSL0214,synthetic_template,我今天沒有喜歡書,今天 書 我 喜歡 沒有,我,書,今天,書,喜歡,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0215,synthetic_template,我今天記得書,今天 書 我 記得,我,書,今天,書,記得,plain,word_order,none,false,none,時間在前；受語作主題
TSL0216,synthetic_template,我今天沒有記得書,今天 書 我 記得 沒有,我,書,今天,書,記得,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0217,synthetic_template,我今天忘記書,今天 書 我 忘記,我,書,今天,書,忘記,plain,word_order,none,false,none,時間在前；受語作主題
TSL0218,synthetic_template,我今天沒有忘記書,今天 書 我 忘記 沒有,我,書,今天,書,忘記,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0219,synthetic_template,我今天討厭書,今天 書 我 討厭,我,書,今天,書,討厭,plain,word_order,none,false,none,時間在前；受語作主題
TSL0220,synthetic_template,我今天沒有討厭書,今天 書 我 討厭 沒有,我,書,今天,書,討厭,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0221,synthetic_template,我今天買手機,今天 手機 我 買,我,手機,今天,手機,買,plain,word_order,none,false,none,時間在前；受語作主題
TSL0222,synthetic_template,我今天沒有買手機,今天 手機 我 買 沒有,我,手機,今天,手機,買,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0223,synthetic_template,我今天看手機,今天 手機 我 看,我,手機,今天,手機,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0224,synthetic_template,我今天沒有看手機,今天 手機 我 看 沒有,我,手機,今天,手機,看,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0225,synthetic_template,我今天喝手機,今天 手機 我 喝,我,手機,今天,手機,喝,plain,word_order,none,false,none,時間在前；受語作主題
TSL0226,synthetic_template,我今天沒有喝手機,今天 手機 我 喝 沒有,我,手機,今天,手機,喝,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0227,synthetic_template,我今天帶手機,今天 手機 我 帶,我,手機,今天,手機,帶,plain,word_order,none,false,none,時間在前；受語作主題
TSL0228,synthetic_template,我今天沒有帶手機,今天 手機 我 帶 沒有,我,手機,今天,手機,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0229,synthetic_template,我今天寫手機,今天 手機 我 寫,我,手機,今天,手機,寫,plain,word_order,none,false,none,時間在前；受語作主題
TSL0230,synthetic_template,我今天沒有寫手機,今天 手機 我 寫 沒有,我,手機,今天,手機,寫,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0231,synthetic_template,我今天找手機,今天 手機 我 找,我,手機,今天,手機,找,plain,word_order,none,false,none,時間在前；受語作主題
TSL0232,synthetic_template,我今天沒有找手機,今天 手機 我 找 沒有,我,手機,今天,手機,找,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0233,synthetic_template,我今天喜歡手機,今天 手機 我 喜歡,我,手機,今天,手機,喜歡,plain,word_order,none,false,none,時間在前；受語作主題
TSL0234,synthetic_template,我今天沒有喜歡手機,今天 手機 我 喜歡 沒有,我,手機,今天,手機,喜歡,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0235,synthetic_template,我今天記得手機,今天 手機 我 記得,我,手機,今天,手機,記得,plain,word_order,none,false,none,時間在前；受語作主題
TSL0236,synthetic_template,我今天沒有記得手機,今天 手機 我 記得 沒有,我,手機,今天,手機,記得,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0237,synthetic_template,我今天忘記手機,今天 手機 我 忘記,我,手機,今天,手機,忘記,plain,word_order,none,false,none,時間在前；受語作主題
TSL0238,synthetic_template,我今天沒有忘記手機,今天 手機 我 忘記 沒有,我,手機,今天,手機,忘記,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0239,synthetic_template,我今天討厭手機,今天 手機 我 討厭,我,手機,今天,手機,討厭,plain,word_order,none,false,none,時間在前；受語作主題
TSL0240,synthetic_template,我今天沒有討厭手機,今天 手機 我 討厭 沒有,我,手機,今天,手機,討厭,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0241,synthetic_template,我今天買咖啡,今天 咖啡 我 買,我,咖啡,今天,咖啡,買,plain,word_order,none,false,none,時間在前；受語作主題
TSL0242,synthetic_template,我今天沒有買咖啡,今天 咖啡 我 買 沒有,我,咖啡,今天,咖啡,買,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0243,synthetic_template,我今天看咖啡,今天 咖啡 我 看,我,咖啡,今天,咖啡,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0244,synthetic_template,我今天沒有看咖啡,今天 咖啡 我 看 沒有,我,咖啡,今天,咖啡,看,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0245,synthetic_template,我今天喝咖啡,今天 咖啡 我 喝,我,咖啡,今天,咖啡,喝,plain,word_order,none,false,none,時間在前；受語作主題
TSL0246,synthetic_template,我今天沒有喝咖啡,今天 咖啡 我 喝 沒有,我,咖啡,今天,咖啡,喝,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0247,synthetic_template,我今天帶咖啡,今天 咖啡 我 帶,我,咖啡,今天,咖啡,帶,plain,word_order,none,false,none,時間在前；受語作主題
TSL0248,synthetic_template,我今天沒有帶咖啡,今天 咖啡 我 帶 沒有,我,咖啡,今天,咖啡,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0249,synthetic_template,我今天寫咖啡,今天 咖啡 我 寫,我,咖啡,今天,咖啡,寫,plain,word_order,none,false,none,時間在前；受語作主題
TSL0250,synthetic_template,我今天沒有寫咖啡,今天 咖啡 我 寫 沒有,我,咖啡,今天,咖啡,寫,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0251,synthetic_template,我今天找咖啡,今天 咖啡 我 找,我,咖啡,今天,咖啡,找,plain,word_order,none,false,none,時間在前；受語作主題
TSL0252,synthetic_template,我今天沒有找咖啡,今天 咖啡 我 找 沒有,我,咖啡,今天,咖啡,找,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0253,synthetic_template,我今天喜歡咖啡,今天 咖啡 我 喜歡,我,咖啡,今天,咖啡,喜歡,plain,word_order,none,false,none,時間在前；受語作主題
TSL0254,synthetic_template,我今天沒有喜歡咖啡,今天 咖啡 我 喜歡 沒有,我,咖啡,今天,咖啡,喜歡,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0255,synthetic_template,我今天記得咖啡,今天 咖啡 我 記得,我,咖啡,今天,咖啡,記得,plain,word_order,none,false,none,時間在前；受語作主題
TSL0256,synthetic_template,我今天沒有記得咖啡,今天 咖啡 我 記得 沒有,我,咖啡,今天,咖啡,記得,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0257,synthetic_template,我今天忘記咖啡,今天 咖啡 我 忘記,我,咖啡,今天,咖啡,忘記,plain,word_order,none,false,none,時間在前；受語作主題
TSL0258,synthetic_template,我今天沒有忘記咖啡,今天 咖啡 我 忘記 沒有,我,咖啡,今天,咖啡,忘記,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0259,synthetic_template,我今天討厭咖啡,今天 咖啡 我 討厭,我,咖啡,今天,咖啡,討厭,plain,word_order,none,false,none,時間在前；受語作主題
TSL0260,synthetic_template,我今天沒有討厭咖啡,今天 咖啡 我 討厭 沒有,我,咖啡,今天,咖啡,討厭,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0261,synthetic_template,我今天買水,今天 水 我 買,我,水,今天,水,買,plain,word_order,none,false,none,時間在前；受語作主題
TSL0262,synthetic_template,我今天沒有買水,今天 水 我 買 沒有,我,水,今天,水,買,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0263,synthetic_template,我今天看水,今天 水 我 看,我,水,今天,水,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0264,synthetic_template,我今天沒有看水,今天 水 我 看 沒有,我,水,今天,水,看,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0265,synthetic_template,我今天喝水,今天 水 我 喝,我,水,今天,水,喝,plain,word_order,none,false,none,時間在前；受語作主題
TSL0266,synthetic_template,我今天沒有喝水,今天 水 我 喝 沒有,我,水,今天,水,喝,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0267,synthetic_template,我今天帶水,今天 水 我 帶,我,水,今天,水,帶,plain,word_order,none,false,none,時間在前；受語作主題
TSL0268,synthetic_template,我今天沒有帶水,今天 水 我 帶 沒有,我,水,今天,水,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0269,synthetic_template,我今天寫水,今天 水 我 寫,我,水,今天,水,寫,plain,word_order,none,false,none,時間在前；受語作主題
TSL0270,synthetic_template,我今天沒有寫水,今天 水 我 寫 沒有,我,水,今天,水,寫,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0271,synthetic_template,我今天找水,今天 水 我 找,我,水,今天,水,找,plain,word_order,none,false,none,時間在前；受語作主題
TSL0272,synthetic_template,我今天沒有找水,今天 水 我 找 沒有,我,水,今天,水,找,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0273,synthetic_template,我今天喜歡水,今天 水 我 喜歡,我,水,今天,水,喜歡,plain,word_order,none,false,none,時間在前；受語作主題
TSL0274,synthetic_template,我今天沒有喜歡水,今天 水 我 喜歡 沒有,我,水,今天,水,喜歡,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0275,synthetic_template,我今天記得水,今天 水 我 記得,我,水,今天,水,記得,plain,word_order,none,false,none,時間在前；受語作主題
TSL0276,synthetic_template,我今天沒有記得水,今天 水 我 記得 沒有,我,水,今天,水,記得,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0277,synthetic_template,我今天忘記水,今天 水 我 忘記,我,水,今天,水,忘記,plain,word_order,none,false,none,時間在前；受語作主題
TSL0278,synthetic_template,我今天沒有忘記水,今天 水 我 忘記 沒有,我,水,今天,水,忘記,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0279,synthetic_template,我今天討厭水,今天 水 我 討厭,我,水,今天,水,討厭,plain,word_order,none,false,none,時間在前；受語作主題
TSL0280,synthetic_template,我今天沒有討厭水,今天 水 我 討厭 沒有,我,水,今天,水,討厭,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0281,synthetic_template,我今天買作業,今天 作業 我 買,我,作業,今天,作業,買,plain,word_order,none,false,none,時間在前；受語作主題
TSL0282,synthetic_template,我今天沒有買作業,今天 作業 我 買 沒有,我,作業,今天,作業,買,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0283,synthetic_template,我今天看作業,今天 作業 我 看,我,作業,今天,作業,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0284,synthetic_template,我今天沒有看作業,今天 作業 我 看 沒有,我,作業,今天,作業,看,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0285,synthetic_template,我今天喝作業,今天 作業 我 喝,我,作業,今天,作業,喝,plain,word_order,none,false,none,時間在前；受語作主題
TSL0286,synthetic_template,我今天沒有喝作業,今天 作業 我 喝 沒有,我,作業,今天,作業,喝,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0287,synthetic_template,我今天帶作業,今天 作業 我 帶,我,作業,今天,作業,帶,plain,word_order,none,false,none,時間在前；受語作主題
TSL0288,synthetic_template,我今天沒有帶作業,今天 作業 我 帶 沒有,我,作業,今天,作業,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0289,synthetic_template,我今天寫作業,今天 作業 我 寫,我,作業,今天,作業,寫,plain,word_order,none,false,none,時間在前；受語作主題
TSL0290,synthetic_template,我今天沒有寫作業,今天 作業 我 寫 沒有,我,作業,今天,作業,寫,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0291,synthetic_template,我今天找作業,今天 作業 我 找,我,作業,今天,作業,找,plain,word_order,none,false,none,時間在前；受語作主題
TSL0292,synthetic_template,我今天沒有找作業,今天 作業 我 找 沒有,我,作業,今天,作業,找,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0293,synthetic_template,我今天喜歡作業,今天 作業 我 喜歡,我,作業,今天,作業,喜歡,plain,word_order,none,false,none,時間在前；受語作主題
TSL0294,synthetic_template,我今天沒有喜歡作業,今天 作業 我 喜歡 沒有,我,作業,今天,作業,喜歡,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0295,synthetic_template,我今天記得作業,今天 作業 我 記得,我,作業,今天,作業,記得,plain,word_order,none,false,none,時間在前；受語作主題
TSL0296,synthetic_template,我今天沒有記得作業,今天 作業 我 記得 沒有,我,作業,今天,作業,記得,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0297,synthetic_template,我今天忘記作業,今天 作業 我 忘記,我,作業,今天,作業,忘記,plain,word_order,none,false,none,時間在前；受語作主題
TSL0298,synthetic_template,我今天沒有忘記作業,今天 作業 我 忘記 沒有,我,作業,今天,作業,忘記,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0299,synthetic_template,我今天討厭作業,今天 作業 我 討厭,我,作業,今天,作業,討厭,plain,word_order,none,false,none,時間在前；受語作主題
TSL0300,synthetic_template,我今天沒有討厭作業,今天 作業 我 討厭 沒有,我,作業,今天,作業,討厭,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0301,synthetic_template,我今天買電影,今天 電影 我 買,我,電影,今天,電影,買,plain,word_order,none,false,none,時間在前；受語作主題
TSL0302,synthetic_template,我今天沒有買電影,今天 電影 我 買 沒有,我,電影,今天,電影,買,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0303,synthetic_template,我今天看電影,今天 電影 我 看,我,電影,今天,電影,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0304,synthetic_template,我今天沒有看電影,今天 電影 我 看 沒有,我,電影,今天,電影,看,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0305,synthetic_template,我今天喝電影,今天 電影 我 喝,我,電影,今天,電影,喝,plain,word_order,none,false,none,時間在前；受語作主題
TSL0306,synthetic_template,我今天沒有喝電影,今天 電影 我 喝 沒有,我,電影,今天,電影,喝,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0307,synthetic_template,我今天帶電影,今天 電影 我 帶,我,電影,今天,電影,帶,plain,word_order,none,false,none,時間在前；受語作主題
TSL0308,synthetic_template,我今天沒有帶電影,今天 電影 我 帶 沒有,我,電影,今天,電影,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0309,synthetic_template,我今天寫電影,今天 電影 我 寫,我,電影,今天,電影,寫,plain,word_order,none,false,none,時間在前；受語作主題
TSL0310,synthetic_template,我今天沒有寫電影,今天 電影 我 寫 沒有,我,電影,今天,電影,寫,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0311,synthetic_template,我今天找電影,今天 電影 我 找,我,電影,今天,電影,找,plain,word_order,none,false,none,時間在前；受語作主題
TSL0312,synthetic_template,我今天沒有找電影,今天 電影 我 找 沒有,我,電影,今天,電影,找,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0313,synthetic_template,我今天喜歡電影,今天 電影 我 喜歡,我,電影,今天,電影,喜歡,plain,word_order,none,false,none,時間在前；受語作主題
TSL0314,synthetic_template,我今天沒有喜歡電影,今天 電影 我 喜歡 沒有,我,電影,今天,電影,喜歡,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0315,synthetic_template,我今天記得電影,今天 電影 我 記得,我,電影,今天,電影,記得,plain,word_order,none,false,none,時間在前；受語作主題
TSL0316,synthetic_template,我今天沒有記得電影,今天 電影 我 記得 沒有,我,電影,今天,電影,記得,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0317,synthetic_template,我今天忘記電影,今天 電影 我 忘記,我,電影,今天,電影,忘記,plain,word_order,none,false,none,時間在前；受語作主題
TSL0318,synthetic_template,我今天沒有忘記電影,今天 電影 我 忘記 沒有,我,電影,今天,電影,忘記,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0319,synthetic_template,我今天討厭電影,今天 電影 我 討厭,我,電影,今天,電影,討厭,plain,word_order,none,false,none,時間在前；受語作主題
TSL0320,synthetic_template,我今天沒有討厭電影,今天 電影 我 討厭 沒有,我,電影,今天,電影,討厭,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0321,synthetic_template,我今天買訊息,今天 訊息 我 買,我,訊息,今天,訊息,買,plain,word_order,none,false,none,時間在前；受語作主題
TSL0322,synthetic_template,我今天沒有買訊息,今天 訊息 我 買 沒有,我,訊息,今天,訊息,買,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0323,synthetic_template,我今天看訊息,今天 訊息 我 看,我,訊息,今天,訊息,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0324,synthetic_template,我今天沒有看訊息,今天 訊息 我 看 沒有,我,訊息,今天,訊息,看,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0325,synthetic_template,我今天喝訊息,今天 訊息 我 喝,我,訊息,今天,訊息,喝,plain,word_order,none,false,none,時間在前；受語作主題
TSL0326,synthetic_template,我今天沒有喝訊息,今天 訊息 我 喝 沒有,我,訊息,今天,訊息,喝,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0327,synthetic_template,我今天帶訊息,今天 訊息 我 帶,我,訊息,今天,訊息,帶,plain,word_order,none,false,none,時間在前；受語作主題
TSL0328,synthetic_template,我今天沒有帶訊息,今天 訊息 我 帶 沒有,我,訊息,今天,訊息,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0329,synthetic_template,我今天寫訊息,今天 訊息 我 寫,我,訊息,今天,訊息,寫,plain,word_order,none,false,none,時間在前；受語作主題
TSL0330,synthetic_template,我今天沒有寫訊息,今天 訊息 我 寫 沒有,我,訊息,今天,訊息,寫,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0331,synthetic_template,我今天找訊息,今天 訊息 我 找,我,訊息,今天,訊息,找,plain,word_order,none,false,none,時間在前；受語作主題
TSL0332,synthetic_template,我今天沒有找訊息,今天 訊息 我 找 沒有,我,訊息,今天,訊息,找,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0333,synthetic_template,我今天喜歡訊息,今天 訊息 我 喜歡,我,訊息,今天,訊息,喜歡,plain,word_order,none,false,none,時間在前；受語作主題
TSL0334,synthetic_template,我今天沒有喜歡訊息,今天 訊息 我 喜歡 沒有,我,訊息,今天,訊息,喜歡,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0335,synthetic_template,我今天記得訊息,今天 訊息 我 記得,我,訊息,今天,訊息,記得,plain,word_order,none,false,none,時間在前；受語作主題
TSL0336,synthetic_template,我今天沒有記得訊息,今天 訊息 我 記得 沒有,我,訊息,今天,訊息,記得,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0337,synthetic_template,我今天忘記訊息,今天 訊息 我 忘記,我,訊息,今天,訊息,忘記,plain,word_order,none,false,none,時間在前；受語作主題
TSL0338,synthetic_template,我今天沒有忘記訊息,今天 訊息 我 忘記 沒有,我,訊息,今天,訊息,忘記,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0339,synthetic_template,我今天討厭訊息,今天 訊息 我 討厭,我,訊息,今天,訊息,討厭,plain,word_order,none,false,none,時間在前；受語作主題
TSL0340,synthetic_template,我今天沒有討厭訊息,今天 訊息 我 討厭 沒有,我,訊息,今天,訊息,討厭,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0341,synthetic_template,我今天買照片,今天 照片 我 買,我,照片,今天,照片,買,plain,word_order,none,false,none,時間在前；受語作主題
TSL0342,synthetic_template,我今天沒有買照片,今天 照片 我 買 沒有,我,照片,今天,照片,買,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0343,synthetic_template,我今天看照片,今天 照片 我 看,我,照片,今天,照片,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0344,synthetic_template,我今天沒有看照片,今天 照片 我 看 沒有,我,照片,今天,照片,看,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0345,synthetic_template,我今天喝照片,今天 照片 我 喝,我,照片,今天,照片,喝,plain,word_order,none,false,none,時間在前；受語作主題
TSL0346,synthetic_template,我今天沒有喝照片,今天 照片 我 喝 沒有,我,照片,今天,照片,喝,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0347,synthetic_template,我今天帶照片,今天 照片 我 帶,我,照片,今天,照片,帶,plain,word_order,none,false,none,時間在前；受語作主題
TSL0348,synthetic_template,我今天沒有帶照片,今天 照片 我 帶 沒有,我,照片,今天,照片,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0349,synthetic_template,我今天寫照片,今天 照片 我 寫,我,照片,今天,照片,寫,plain,word_order,none,false,none,時間在前；受語作主題
TSL0350,synthetic_template,我今天沒有寫照片,今天 照片 我 寫 沒有,我,照片,今天,照片,寫,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0351,synthetic_template,我今天找照片,今天 照片 我 找,我,照片,今天,照片,找,plain,word_order,none,false,none,時間在前；受語作主題
TSL0352,synthetic_template,我今天沒有找照片,今天 照片 我 找 沒有,我,照片,今天,照片,找,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0353,synthetic_template,我今天喜歡照片,今天 照片 我 喜歡,我,照片,今天,照片,喜歡,plain,word_order,none,false,none,時間在前；受語作主題
TSL0354,synthetic_template,我今天沒有喜歡照片,今天 照片 我 喜歡 沒有,我,照片,今天,照片,喜歡,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0355,synthetic_template,我今天記得照片,今天 照片 我 記得,我,照片,今天,照片,記得,plain,word_order,none,false,none,時間在前；受語作主題
TSL0356,synthetic_template,我今天沒有記得照片,今天 照片 我 記得 沒有,我,照片,今天,照片,記得,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0357,synthetic_template,我今天忘記照片,今天 照片 我 忘記,我,照片,今天,照片,忘記,plain,word_order,none,false,none,時間在前；受語作主題
TSL0358,synthetic_template,我今天沒有忘記照片,今天 照片 我 忘記 沒有,我,照片,今天,照片,忘記,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0359,synthetic_template,我今天討厭照片,今天 照片 我 討厭,我,照片,今天,照片,討厭,plain,word_order,none,false,none,時間在前；受語作主題
TSL0360,synthetic_template,我今天沒有討厭照片,今天 照片 我 討厭 沒有,我,照片,今天,照片,討厭,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0361,synthetic_template,我今天買雨傘,今天 雨傘 我 買,我,雨傘,今天,雨傘,買,plain,word_order,none,false,none,時間在前；受語作主題
TSL0362,synthetic_template,我今天沒有買雨傘,今天 雨傘 我 買 沒有,我,雨傘,今天,雨傘,買,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0363,synthetic_template,我今天看雨傘,今天 雨傘 我 看,我,雨傘,今天,雨傘,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0364,synthetic_template,我今天沒有看雨傘,今天 雨傘 我 看 沒有,我,雨傘,今天,雨傘,看,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0365,synthetic_template,我今天喝雨傘,今天 雨傘 我 喝,我,雨傘,今天,雨傘,喝,plain,word_order,none,false,none,時間在前；受語作主題
TSL0366,synthetic_template,我今天沒有喝雨傘,今天 雨傘 我 喝 沒有,我,雨傘,今天,雨傘,喝,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0367,synthetic_template,我今天帶雨傘,今天 雨傘 我 帶,我,雨傘,今天,雨傘,帶,plain,word_order,none,false,none,時間在前；受語作主題
TSL0368,synthetic_template,我今天沒有帶雨傘,今天 雨傘 我 帶 沒有,我,雨傘,今天,雨傘,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0369,synthetic_template,我今天寫雨傘,今天 雨傘 我 寫,我,雨傘,今天,雨傘,寫,plain,word_order,none,false,none,時間在前；受語作主題
TSL0370,synthetic_template,我今天沒有寫雨傘,今天 雨傘 我 寫 沒有,我,雨傘,今天,雨傘,寫,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0371,synthetic_template,我今天找雨傘,今天 雨傘 我 找,我,雨傘,今天,雨傘,找,plain,word_order,none,false,none,時間在前；受語作主題
TSL0372,synthetic_template,我今天沒有找雨傘,今天 雨傘 我 找 沒有,我,雨傘,今天,雨傘,找,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0373,synthetic_template,我今天喜歡雨傘,今天 雨傘 我 喜歡,我,雨傘,今天,雨傘,喜歡,plain,word_order,none,false,none,時間在前；受語作主題
TSL0374,synthetic_template,我今天沒有喜歡雨傘,今天 雨傘 我 喜歡 沒有,我,雨傘,今天,雨傘,喜歡,plain,word_order,none,true,head_shake,時間在前；否定後置
